"source_type","source_input","schedule_enabled","cron_expression","timezone","active","run_timeout_ms","run_max_retries","params"
"youtube","https://www.youtube.com/channel/UCcBzKSM4A-pIHMJWSnxmi_g","true","15 11 * * 0","Europe/London","true","","","{""source_name"":""Fundstrat""}"
"youtube","https://www.youtube.com/channel/UCDukC60SYLlPwdU9CWPGx9Q","true","20 11 * * 0","Europe/London","true","","","{""source_name"":""NeuraPod""}"
"youtube","https://www.youtube.com/channel/UCMtJYS0PrtiUwlk6zjGDEMA","true","25 11 * * 0","Europe/London","true","","","{""source_name"":""Elliot Trades""}"
"youtube","https://www.youtube.com/channel/UCz4XY6NPKaMUWNWMONTw3NQ","true","30 11 * * 0","Europe/London","true","","","{""source_name"":""Investing Made Simple""}"
"youtube","https://www.youtube.com/channel/UCJNoPkgW0KSKzBHgFJ3VRtQ","true","35 11 * * 0","Europe/London","true","","","{""source_name"":""Jetson""}"
"youtube","https://www.youtube.com/channel/UCCZLVYAGIoGvaFUrTyyeaXA","true","40 11 * * 0","Europe/London","true","","","{""source_name"":""TeslaCarWorld""}"
"youtube","https://www.youtube.com/channel/UC54w2TX_xUNPQ0d-3VvbsHQ","true","45 11 * * 0","Europe/London","true","","","{""source_name"":""FuturologyChannel""}"
"youtube","https://www.youtube.com/channel/UClMW7w5LIPCr98Hw17GeiYQ","true","50 11 * * 0","Europe/London","true","","","{""source_name"":""Savvy Finance""}"
"youtube","https://www.youtube.com/channel/UCENfGtNBhb7f2SjKcLYZ21w","true","55 11 * * 0","Europe/London","true","","","{""source_name"":""The Romano Report""}"
"youtube","https://www.youtube.com/channel/UC61bdUxzWr1a7XuBu8wv2Xg","true","0 12 * * 0","Europe/London","true","","","{""source_name"":""Bitcoin Bros""}"
"youtube","https://www.youtube.com/channel/UCctgkud479NSohpZDtlMYgA","true","5 12 * * 0","Europe/London","true","","","{""source_name"":""OverEasy""}"
"youtube","https://www.youtube.com/channel/UCM3ob0xoXvfjMA7D3Q6QqNg","true","10 12 * * 0","Europe/London","true","","","{""source_name"":""Savvy Minds""}"
"youtube","https://www.youtube.com/channel/UCuQIul0FqNDH5Qb7KLvRjxg","true","15 12 * * 0","Europe/London","true","","","{""source_name"":""Sinead Bovell""}"
"youtube","https://www.youtube.com/channel/UCPa0bvFsR1mbBpk5mIPFGLA","true","20 12 * * 0","Europe/London","true","","","{""source_name"":""Vincent Chan""}"
"youtube","https://www.youtube.com/channel/UC0C-17n9iuUQPylguM1d-lQ","true","25 12 * * 0","Europe/London","true","","","{""source_name"":""Nate B Jones""}"
"youtube","https://www.youtube.com/channel/UCl2oCaw8hdR_kbqyqd2klIA","true","30 12 * * 0","Europe/London","true","","","{""source_name"":""Lark Davis""}"
"youtube","https://www.youtube.com/channel/UCOmcA3f_RrH6b9NmcNa4tdg","true","35 12 * * 0","Europe/London","true","","","{""source_name"":""CNET""}"
"youtube","https://www.youtube.com/channel/UCbNOk_wOA7UMvYrF7K0iBvQ","true","40 12 * * 0","Europe/London","true","","","{""source_name"":""FutureAza""}"
"youtube","https://www.youtube.com/channel/UCR9j1jqqB5Rse69wjUnbYwA","true","45 12 * * 0","Europe/London","true","","","{""source_name"":""All About AI""}"
"youtube","https://www.youtube.com/channel/UCEO-TRfY1uLO_v_rqghHLqQ","true","50 12 * * 0","Europe/London","true","","","{""source_name"":""YOU""}"
"youtube","https://www.youtube.com/channel/UCZMHNkWw6_-q2EcBtFCDgsA","true","55 12 * * 0","Europe/London","true","","","{""source_name"":""How to Invest""}"
"youtube","https://www.youtube.com/channel/UC1yNl2E66ZzKApQdRuTQ4tw","true","0 13 * * 0","Europe/London","true","","","{""source_name"":""Sabine Hossenfelder""}"
"youtube","https://www.youtube.com/channel/UChzLnWVsl3puKQwc5PoO6Zg","true","5 13 * * 0","Europe/London","true","","","{""source_name"":""BTC Sessions""}"
"youtube","https://www.youtube.com/channel/UCzVNEU6Ei3r9D9VUewatEqQ","true","10 13 * * 0","Europe/London","true","","","{""source_name"":""AI GridLock""}"
"youtube","https://www.youtube.com/channel/UCN9Nj4tjXbVTLYWN0EKly_Q","true","15 13 * * 0","Europe/London","true","","","{""source_name"":""Crypto Banter""}"
"youtube","https://www.youtube.com/channel/UCkoujZQZatbqy4KGcgjpVxQ","true","20 13 * * 0","Europe/London","true","","","{""source_name"":""Ryan Shaw""}"
"youtube","https://www.youtube.com/channel/UCJEDniyP_YtcsXikBELqicw","true","25 13 * * 0","Europe/London","true","","","{""source_name"":""Joe Lonsdale""}"
"youtube","https://www.youtube.com/channel/UCp7Rg8q0s_F8PDGkuEUj5ew","true","30 13 * * 0","Europe/London","true","","","{""source_name"":""Digital Coin""}"
"youtube","https://www.youtube.com/channel/UCqoAEDirJPjEUFcF2FklnBA","true","35 13 * * 0","Europe/London","true","","","{""source_name"":""StarTalk""}"
"youtube","https://www.youtube.com/channel/UCYEu3XGuHQy65iJpnzMIRrQ","true","40 13 * * 0","Europe/London","true","","","{""source_name"":""Robin Seyr""}"
"youtube","https://www.youtube.com/channel/UChpleBmo18P08aKCIgti38g","true","45 13 * * 0","Europe/London","true","","","{""source_name"":""Matt Wolfe""}"
"youtube","https://www.youtube.com/channel/UCbLhGKVY-bJPcawebgtNfbw","true","50 13 * * 0","Europe/London","true","","","{""source_name"":""Altcoin Daily""}"
"youtube","https://www.youtube.com/channel/UCWUbEr22A2soLtBjFohY6aw","true","55 13 * * 0","Europe/London","true","","","{""source_name"":""Tim Talks Finance""}"
